athlete_code,name,gender,country_code,nationality,birth_date
1539976,MURPHY Kelly,F,IRL,Ireland,1989-11-03
1539977,GRIFFIN Mia,F,IRL,Ireland,1998-12-30
1539978,CREIGHTON Erin,F,IRL,Ireland,2004-03-06
1539982,SHARPE Alice,F,IRL,Ireland,1994-05-03
1539983,HEALY Ben,M,IRL,Ireland,2000-09-11
1539985,MAGUIRE Leona,F,IRL,Ireland,1994-11-30
1539986,Mc CLENAGHAN Rhys,M,IRL,Ireland,1999-07-21
1539990,MURTAGH Fiona,F,IRL,Ireland,1995-07-11
1539991,MAGNER Imogen,F,IRL,Ireland,1998-07-08
1539992,LONG Natalie,F,IRL,Ireland,1990-06-13
1539993,CASEY Aoife,F,IRL,Ireland,1999-06-01
1539998,KEOGH Aifric,F,IRL,Ireland,1992-07-09
1540039,TOSTI Alejandro,M,ARG,Argentina,1996-05-30
1540108,BAR Juan,M,ARG,Argentina,1987-06-29
1540112,BONANNO Nicolas,M,ARG,Argentina,1991-11-18
1540120,FERNANDEZ Federico,M,ARG,Argentina,1989-10-17
1540143,FISCHER Guillermo,M,ARG,Argentina,1996-07-18
1540144,MACIEL Leonel,M,ARG,Argentina,1989-01-04
1540173,PENRUDDOCKE Adriana,F,BER,United States,2000-06-14
1540175,MARTINEZ CAMI Pedro,M,ARG,Argentina,1999-12-20
1540176,WEBSTER Charlotte,F,CAY,Great Britain,2004-03-17
1540177,MOSCARIELLO Lucas,M,ARG,Argentina,1992-02-19
1540178,MOYANO Andres,M,ARG,Argentina,1996-07-28
1540179,MOURINO Gaston,M,ARG,Argentina,1994-10-12
1540180,PARKER James,M,ARG,Argentina,1994-06-09
1540181,PIZARRO Federico,M,ARG,Argentina,1986-09-07
