medal_date,medal_code,country_code,team_gender,discipline,event,code_athlete,code_team
2024-08-04,1,ITA,W,Tennis,Women's Doubles,1910330,TENWDOUBLES-ITA01
2024-07-27,2,FIJ,M,Rugby Sevens,Men,1913523,RU7MTEAM7---FIJ01
2024-07-27,2,FIJ,M,Rugby Sevens,Men,1982687,RU7MTEAM7---FIJ01
2024-07-27,2,FIJ,M,Rugby Sevens,Men,1982069,RU7MTEAM7---FIJ01
2024-07-27,2,FIJ,M,Rugby Sevens,Men,1913346,RU7MTEAM7---FIJ01
2024-07-27,2,FIJ,M,Rugby Sevens,Men,1977633,RU7MTEAM7---FIJ01
2024-07-27,2,FIJ,M,Rugby Sevens,Men,1913334,RU7MTEAM7---FIJ01
2024-07-27,2,FIJ,M,Rugby Sevens,Men,1908897,RU7MTEAM7---FIJ01
2024-07-27,2,FIJ,M,Rugby Sevens,Men,1908841,RU7MTEAM7---FIJ01
2024-07-27,2,FIJ,M,Rugby Sevens,Men,2484588,RU7MTEAM7---FIJ01
2024-07-27,2,FIJ,M,Rugby Sevens,Men,1908901,RU7MTEAM7---FIJ01
2024-07-27,2,FIJ,M,Rugby Sevens,Men,1908838,RU7MTEAM7---FIJ01
2024-07-27,2,FIJ,M,Rugby Sevens,Men,1908835,RU7MTEAM7---FIJ01
2024-07-27,2,FIJ,M,Rugby Sevens,Men,1908911,RU7MTEAM7---FIJ01
2024-07-27,2,FIJ,M,Rugby Sevens,Men,1913286,RU7MTEAM7---FIJ01
2024-07-29,2,FRA,M,Archery,Men's Team,1541270,ARCMTEAM3---FRA01
2024-08-03,1,FRA,Mixed,Judo,Mixed Team,1891289,JUDXTEAM6---FRA01
2024-08-09,2,FRA,M,Football,Men,1900626,FBLMTEAM11--FRA01
2024-08-10,2,FRA,M,Basketball,Men,1573627,BKBMTEAM5---FRA01
2024-07-31,3,FRA,M,Fencing,Men's Sabre Team,1916230,FENMTEAMSABRFRA01
2024-08-11,2,FRA,W,Basketball,Women,1573439,BKBWTEAM5---FRA01
2024-08-09,2,FRA,M,Football,Men,4669223,FBLMTEAM11--FRA01
2024-08-11,2,FRA,W,Basketball,Women,1573440,BKBWTEAM5---FRA01
2024-07-27,1,FRA,M,Rugby Sevens,Men,1879661,RU7MTEAM7---FRA01
